epoch,lr,loss_tr,loss_va,dice_real_tr,dice_real_va,gap,dice_fake_tr,dice_fake_va,dice_va_perpatient_mean,dice_va_AC0CE315D5758B,dice_va_AC0CEE9C24F2B7
0,1.000e-05,2.37181,2.11234,0.28824,0.44662,-0.15837,0.30542,0.52155,0.36882,0.34246,0.39518
1,9.990e-06,1.94249,1.81906,0.53937,0.61064,-0.07127,0.53493,0.62085,0.56517,0.53110,0.59925
2,9.961e-06,1.07456,1.30910,0.81088,0.75753,+0.05334,0.72495,0.72752,0.72911,0.73890,0.71932
3,9.912e-06,0.52270,1.21929,0.88426,0.77734,+0.10692,0.78380,0.73813,0.74895,0.77427,0.72362
4,9.843e-06,0.41926,1.20621,0.90079,0.77024,+0.13055,0.80203,0.74515,0.74050,0.76028,0.72072
5,9.756e-06,0.37284,1.19064,0.90810,0.78050,+0.12760,0.81276,0.76046,0.75086,0.76755,0.73416
6,9.649e-06,0.34933,1.19812,0.91647,0.77116,+0.14531,0.82275,0.74636,0.74259,0.75585,0.72933
7,9.525e-06,0.33148,1.19606,0.92094,0.77413,+0.14682,0.83058,0.74634,0.74760,0.76777,0.72743
8,9.382e-06,0.32195,1.18133,0.92376,0.78255,+0.14121,0.83572,0.75168,0.75412,0.77113,0.73711
9,9.222e-06,0.30909,1.20091,0.92746,0.76967,+0.15779,0.84130,0.74948,0.74072,0.76911,0.71233
10,9.046e-06,0.30506,1.18163,0.92968,0.78759,+0.14208,0.84826,0.75063,0.75732,0.77537,0.73927
11,8.854e-06,0.29580,1.18302,0.93253,0.78752,+0.14500,0.85001,0.75123,0.75824,0.78396,0.73252
12,8.646e-06,0.28233,1.19204,0.93486,0.78522,+0.14964,0.85533,0.76363,0.75814,0.78604,0.73024
13,8.424e-06,0.28235,1.17682,0.93604,0.79426,+0.14178,0.85782,0.75096,0.76160,0.79435,0.72884
14,8.189e-06,0.27262,1.18272,0.93909,0.78812,+0.15097,0.86178,0.76105,0.75825,0.78251,0.73400
15,7.941e-06,0.26949,1.18700,0.94113,0.78856,+0.15257,0.86438,0.75786,0.75870,0.78703,0.73038
16,7.681e-06,0.26255,1.19064,0.94155,0.77924,+0.16231,0.86754,0.74223,0.74829,0.77197,0.72461
17,7.411e-06,0.25876,1.19635,0.94405,0.77804,+0.16601,0.87012,0.75887,0.75038,0.77802,0.72274
18,7.132e-06,0.25210,1.19157,0.94584,0.77944,+0.16640,0.87188,0.75754,0.74957,0.77346,0.72568
19,6.844e-06,0.24890,1.19311,0.94618,0.78113,+0.16505,0.87449,0.76356,0.75222,0.78301,0.72143
20,6.549e-06,0.25067,1.19395,0.94902,0.78269,+0.16633,0.87766,0.76765,0.75263,0.79058,0.71469
21,6.247e-06,0.23962,1.18593,0.94941,0.79116,+0.15825,0.87902,0.77551,0.76345,0.79642,0.73049
22,5.941e-06,0.23680,1.18939,0.95025,0.79399,+0.15626,0.88091,0.76663,0.76491,0.79913,0.73070
23,5.631e-06,0.24085,1.18944,0.95115,0.78224,+0.16891,0.88308,0.75637,0.75395,0.77806,0.72984
