variant,bucket,slices,fp_px,fn_px,wrong_px,share
A,empty,279,9824,0,9824,0.1734
A,edge,128,10383,13212,23595,0.4165
A,core,175,9747,13488,23235,0.4101
B,empty,279,6949,0,6949,0.1295
B,edge,128,8591,14439,23030,0.4291
B,core,175,9161,14531,23692,0.4414
