epoch,lr,loss_tr,loss_va,dice_real_tr,dice_real_va,gap,dice_fake_tr,dice_fake_va,dice_va_perpatient_mean,dice_va_AC0CE315D5758B,dice_va_AC0CEE9C24F2B7
0,1.000e-05,2.46745,2.21134,0.20387,0.28170,-0.07784,0.28104,0.44203,0.31661,0.29592,0.33731
1,9.990e-06,2.08399,1.99061,0.42192,0.49296,-0.07103,0.52718,0.51431,0.42839,0.38977,0.46701
2,9.961e-06,1.78464,1.63863,0.57671,0.63938,-0.06267,0.63736,0.64753,0.60218,0.56738,0.63697
3,9.912e-06,1.00807,1.18692,0.80991,0.74233,+0.06758,0.77568,0.73178,0.71259,0.70864,0.71653
4,9.843e-06,0.53534,1.06959,0.87676,0.75507,+0.12169,0.81320,0.74340,0.72748,0.73502,0.71995
5,9.756e-06,0.40835,1.03351,0.89496,0.76164,+0.13331,0.82707,0.75257,0.73318,0.73415,0.73221
6,9.649e-06,0.35219,1.02205,0.90527,0.75954,+0.14573,0.83666,0.75615,0.73170,0.73013,0.73327
7,9.525e-06,0.32015,1.01907,0.91174,0.76328,+0.14846,0.84359,0.75433,0.73596,0.73901,0.73290
8,9.382e-06,0.29464,1.01511,0.91584,0.76895,+0.14689,0.84969,0.75289,0.74174,0.74538,0.73810
9,9.222e-06,0.28474,1.00682,0.91755,0.77024,+0.14732,0.85462,0.75859,0.73829,0.74814,0.72845
10,9.046e-06,0.27141,0.99879,0.92470,0.78091,+0.14379,0.85889,0.75982,0.75257,0.75450,0.75063
11,8.854e-06,0.26321,1.01569,0.92604,0.76258,+0.16346,0.86215,0.76189,0.73379,0.73290,0.73468
12,8.646e-06,0.25215,1.01294,0.93012,0.77098,+0.15913,0.86648,0.75719,0.74299,0.74936,0.73663
13,8.424e-06,0.24750,1.01524,0.93032,0.76570,+0.16461,0.86907,0.76315,0.73856,0.74071,0.73642
14,8.189e-06,0.23901,1.01745,0.93502,0.76704,+0.16798,0.87188,0.75701,0.74142,0.74629,0.73655
15,7.941e-06,0.23384,1.01788,0.93809,0.77239,+0.16571,0.87431,0.75961,0.74779,0.74819,0.74739
16,7.681e-06,0.23128,1.02352,0.93713,0.76629,+0.17084,0.87679,0.76034,0.74250,0.74849,0.73651
17,7.411e-06,0.22190,1.01191,0.94139,0.77477,+0.16662,0.87974,0.76264,0.74973,0.75149,0.74797
18,7.132e-06,0.22090,1.01458,0.94236,0.76867,+0.17369,0.88131,0.76248,0.74407,0.74584,0.74229
19,6.844e-06,0.21564,1.01242,0.94285,0.78004,+0.16281,0.88337,0.76066,0.75689,0.75556,0.75822
20,6.549e-06,0.20857,1.01710,0.94563,0.77929,+0.16634,0.88555,0.75971,0.75596,0.75734,0.75458
