epoch,lr,loss_tr,loss_va,dice_real_tr,dice_real_va,gap,dice_fake_tr,dice_fake_va,dice_va_perpatient_mean,dice_va_AC0CE315D5758B,dice_va_AC0CEE9C24F2B7
0,1.000e-05,1.48198,2.21293,0.19629,0.29507,-0.09878,0.27306,0.45621,0.32889,0.30983,0.34794
1,9.998e-06,1.14876,2.00634,0.38008,0.35297,+0.02711,0.52287,0.51405,0.39725,0.36852,0.42598
2,9.990e-06,0.97378,1.77018,0.47323,0.45615,+0.01708,0.61136,0.59900,0.52196,0.47438,0.56953
3,9.978e-06,0.64476,1.32026,0.61579,0.69445,-0.07866,0.74974,0.73129,0.66320,0.62017,0.70624
4,9.961e-06,0.36145,1.13934,0.70328,0.72107,-0.01779,0.81264,0.75750,0.69312,0.66804,0.71820
5,9.939e-06,0.27054,1.07418,0.73873,0.71677,+0.02196,0.82968,0.76529,0.69323,0.66478,0.72168
6,9.912e-06,0.23349,1.04954,0.75682,0.73566,+0.02117,0.84065,0.76145,0.71140,0.68782,0.73499
7,9.880e-06,0.21325,1.04241,0.75450,0.72593,+0.02857,0.84821,0.76288,0.70547,0.67901,0.73193
8,9.843e-06,0.19655,1.03002,0.78791,0.73279,+0.05512,0.85448,0.77051,0.71112,0.69061,0.73164
9,9.802e-06,0.19036,1.03043,0.77871,0.73543,+0.04328,0.85851,0.77069,0.70961,0.70463,0.71458
10,9.756e-06,0.18170,1.03080,0.79091,0.73563,+0.05528,0.86369,0.77000,0.71402,0.69543,0.73260
11,9.705e-06,0.17522,1.03043,0.79871,0.72760,+0.07111,0.86694,0.77467,0.70081,0.69522,0.70639
12,9.649e-06,0.17242,1.01542,0.81547,0.74192,+0.07355,0.87040,0.77511,0.71900,0.70675,0.73125
13,9.589e-06,0.16518,1.02132,0.81980,0.73957,+0.08023,0.87356,0.77313,0.71628,0.70121,0.73135
14,9.525e-06,0.16359,1.02868,0.81190,0.72478,+0.08712,0.87644,0.77784,0.69269,0.69014,0.69524
15,9.456e-06,0.15822,1.02330,0.83123,0.73578,+0.09545,0.87941,0.77401,0.70479,0.69854,0.71104
16,9.382e-06,0.15422,1.02555,0.83266,0.72948,+0.10318,0.88144,0.77753,0.70246,0.69565,0.70926
17,9.304e-06,0.15129,1.03686,0.83258,0.72441,+0.10816,0.88350,0.77537,0.69882,0.69421,0.70342
18,9.222e-06,0.14504,1.04205,0.84298,0.71707,+0.12591,0.88621,0.77779,0.69087,0.69031,0.69143
19,9.136e-06,0.14609,1.02062,0.84296,0.74295,+0.10001,0.88768,0.77502,0.71483,0.71737,0.71230
20,9.046e-06,0.14350,1.02689,0.84614,0.72837,+0.11777,0.89028,0.77694,0.70077,0.69987,0.70168
21,8.952e-06,0.14084,1.02769,0.85357,0.72750,+0.12607,0.89158,0.77955,0.69880,0.70215,0.69545
22,8.854e-06,0.14128,1.03862,0.85661,0.73080,+0.12582,0.89247,0.76974,0.70381,0.70186,0.70577
23,8.752e-06,0.13801,1.03126,0.85195,0.73071,+0.12124,0.89426,0.77662,0.70428,0.69595,0.71261
24,8.646e-06,0.13668,1.03231,0.86190,0.73369,+0.12822,0.89629,0.77246,0.70670,0.70842,0.70498
25,8.537e-06,0.13312,1.04114,0.84708,0.72809,+0.11899,0.89689,0.76798,0.70158,0.69540,0.70777
26,8.424e-06,0.13178,1.03847,0.86949,0.72003,+0.14945,0.89867,0.77818,0.69291,0.69472,0.69110
27,8.308e-06,0.12972,1.04016,0.86105,0.73138,+0.12967,0.89964,0.77121,0.70381,0.70744,0.70018
28,8.189e-06,0.12758,1.04016,0.87082,0.71896,+0.15187,0.90138,0.77870,0.68910,0.69310,0.68510
29,8.066e-06,0.12701,1.04185,0.87326,0.72498,+0.14828,0.90218,0.77447,0.69667,0.69687,0.69647
